"insertTime","server","isMailSent","id","error"
,"server6","true","102","Unable to get price of this service -> winzo6 (10575).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","103","Unable to get price of this service -> whatsappBest6 (10705).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","104","Unable to get price of this service -> paytmnew6 (10015).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","105","Unable to get price of this service -> irctc6 (10151).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","106","Unable to get price of this service -> google6 (10027).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","107","Unable to get price of this service -> swiggy6 (10071).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","108","Unable to get price of this service -> airtel6 (10088).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","109","Unable to get price of this service -> whatsapp6 (10007).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","110","Unable to get price of this service -> paytmold6 (10015).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","111","Unable to get price of this service -> amazon6 (10074).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","112","Unable to get price of this service -> flipkart6 (10059).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
,"server6","true","113","Unable to get price of this service -> zomato6 (10050).
Please validate the price from server.

Setting the price from server to 5.5 to bypass this."
