"server","code","serviceCode","price","serviceList","serviceName"
"server6","irctc6","10151","13.0","ServiceList(serviceId=216, serviceCode=us, serviceName=IRCTC)","IRCTC"
"server2","rummyloot2","fl","11.0","ServiceList(serviceId=486, serviceCode=fl, serviceName=RummyLoot)","RummyLoot"
"server1","dominospizza1","dz","5.0","ServiceList(serviceId=101, serviceCode=dz, serviceName=Dominos Pizza)","DominosPizza"
"server1","royallyrummy1","yll","9.0","ServiceList(serviceId=645, serviceCode=yll, serviceName=Royally Rummy)","RoyallyRummy"
"server6","paytmold6","10015","20.0","ServiceList(serviceId=158, serviceCode=ge, serviceName=Paytm)","Paytm Old"
"server1","watcho1","aao","10.0","ServiceList(serviceId=636, serviceCode=aao, serviceName=Watcho)","Watcho"
"server1","teenpattirefer1","nen","10.0","ServiceList(serviceId=639, serviceCode=nen, serviceName=Teenpatti Refer)","TeenpattiRefer"
"server1","teenpattimaster1","nrt","10.0","ServiceList(serviceId=640, serviceCode=nrt, serviceName=Teenpatti Master)","TeenpattiMaster"
"server2","rummywealth2","so","10.0","ServiceList(serviceId=429, serviceCode=so, serviceName=Rummy Wealth)","RummyWealth"
"server6","flipkartnew6","10059","0.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart New Number"
"server2","my11circle2","ha","7.0","ServiceList(serviceId=421, serviceCode=ha, serviceName=My11Circle)","My11Circle"
"server2","paytm2","ge","15.0","ServiceList(serviceId=158, serviceCode=ge, serviceName=Paytm)","Paytm"
"server1","teenpatijoy1","tnp","9.0","ServiceList(serviceId=490, serviceCode=tnp, serviceName=Teenpati joy)","Teenpatijoy"
"server1","teenpattistarpro1","ih","9.0","ServiceList(serviceId=122, serviceCode=ih, serviceName=TeenPattiStarpro)","TeenPattiStarpro"
"server2","truecaller2","tl","5.5","ServiceList(serviceId=484, serviceCode=tl, serviceName=Truecaller)","Truecaller"
"server2","amazon2","am","11.0","ServiceList(serviceId=17, serviceCode=am, serviceName=Amazon)","Amazon"
"server1","teenpatirummy31","tnr","9.0","ServiceList(serviceId=491, serviceCode=tnr, serviceName=Teenpati Rummy 3)","TeenpatiRummy3"
"server1","eliteludo1","eit","9.0","ServiceList(serviceId=609, serviceCode=eit, serviceName=Elite Ludo)","EliteLudo"
"server1","ludosupreme1","rod","9.0","ServiceList(serviceId=431, serviceCode=rod, serviceName=Ludosupreme)","Ludosupreme"
"server2","bajajfinserv2","bfs","11.0","ServiceList(serviceId=41, serviceCode=bfs, serviceName=Bajaj Finserv)","BajajFinserv"
"server6","winzo6","10575","13.0","ServiceList(serviceId=559, serviceCode=vs, serviceName=Winzo)","Winzo"
"server2","royalwin2","ku","7.0","ServiceList(serviceId=260, serviceCode=ku, serviceName=RoyalWin)","RoyalWin"
"server2","dream112","ve","17.0","ServiceList(serviceId=531, serviceCode=ve, serviceName=Dream11)","Dream11"
"server4","phonepe4","noh","8.0","ServiceList(serviceId=333, serviceCode=noh, serviceName=PhonePe)","PhonePe"
"server2","uber2","ub","8.0","ServiceList(serviceId=506, serviceCode=ub, serviceName=Uber)","Uber"
"server1","rummyola1","xb","7.0","ServiceList(serviceId=583, serviceCode=xb, serviceName=RummyOla)","RummyOla"
"server1","coinbase1","re","9.0","ServiceList(serviceId=416, serviceCode=re, serviceName=Coinbase)","Coinbase"
"server4","anyother4","ot","10.0","ServiceList(serviceId=359, serviceCode=ot, serviceName=Any other)","Anyother"
"server4","pocketcharge4","geo","9.0","ServiceList(serviceId=627, serviceCode=geo, serviceName=Pocket Charge)","PocketCharge"
"server4","google4","go","9.0","ServiceList(serviceId=168, serviceCode=go, serviceName=Google)","Google"
"server4","microsoft4","mm","8.0","ServiceList(serviceId=305, serviceCode=mm, serviceName=Microsoft)","Microsoft"
"server6","airtel6","10088","13.0","ServiceList(serviceId=594, serviceCode=zl, serviceName=Airtel)","Airtel"
"server6","flipkart6","10059","13.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart"
"server6","amazon6","10074","13.0","ServiceList(serviceId=17, serviceCode=am, serviceName=Amazon)","Amazon"
"server6","dream116","10315","22.0","ServiceList(serviceId=531, serviceCode=ve, serviceName=Dream11)","Dream11"
"server1","aliexpress1","hx","5.0","ServiceList(serviceId=195, serviceCode=hx, serviceName=AliExpress)","AliExpress"
"server1","galaxywin1","af","9.0","ServiceList(serviceId=9, serviceCode=af, serviceName=GalaxyWin)","Galaxy win"
"server1","gamezy1","gmz","9.0","ServiceList(serviceId=167, serviceCode=gmz, serviceName=Gamezy)","Gamezy"
"server1","kotak8111","rv","9.0","ServiceList(serviceId=441, serviceCode=rv, serviceName=Kotak811)","Kotak811"
"server1","linkedin1","tn","5.0","ServiceList(serviceId=488, serviceCode=tn, serviceName=LinkedIN)","LinkedIN"
"server1","akudo1","rf","9.0","ServiceList(serviceId=251, serviceCode=rf, serviceName=Akudo)","Akudo"
"server1","meta1","vy","9.0","ServiceList(serviceId=544, serviceCode=vy, serviceName=Meta)","Meta"
"server4","dream114","ve","23.0","ServiceList(serviceId=531, serviceCode=ve, serviceName=Dream11)","Dream11"
"server1","snapchat1","fu","4.0","ServiceList(serviceId=146, serviceCode=fu, serviceName=Snapchat)","Snapchat"
"server1","ludo1","lnj","12.0","ServiceList(serviceId=280, serviceCode=lnj, serviceName=Ludo Ninja)","Ludo"
"server1","my11circle1","ha","8.0","ServiceList(serviceId=421, serviceCode=ha, serviceName=My11Circle)","My11Circle"
"server6","flipkartold6","10059","0.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart Old Number"
"server6","whatsapp6","10007","40.0","ServiceList(serviceId=545, serviceCode=wa, serviceName=Whatsapp)","Whatsapp"
"server4","winzo4","wnz","12.0","ServiceList(serviceId=559, serviceCode=vs, serviceName=Winzo)","Winzo"
"server4","yonorummy4","yog","8.0","ServiceList(serviceId=642, serviceCode=mrn, serviceName=Yono Rummy)","YonoRummy"
"server1","airtel1","zl","0.0","ServiceList(serviceId=594, serviceCode=zl, serviceName=Airtel)","Airtel"
"server6","google6","10027","15.0","ServiceList(serviceId=168, serviceCode=go, serviceName=Google)","Google"
"server3","mobikwik3","fo","10.0","ServiceList(serviceId=304, serviceCode=fo, serviceName=MobiKwik)","MobiKwik"
"server4","paytm4","ge","18.0","ServiceList(serviceId=158, serviceCode=ge, serviceName=Paytm)","Paytm"
"server4","tataneu4","ttn","7.0","ServiceList(serviceId=505, serviceCode=uaa, serviceName=Tata Neu)","TataNeu"
"server1","firstcry1","itr","12.0","ServiceList(serviceId=611, serviceCode=itr, serviceName=FirstCry)","FirstCry"
"server3","google3","go","24.0","ServiceList(serviceId=168, serviceCode=go, serviceName=Google)","Google"
"server1","fun881","fnn","12.0","ServiceList(serviceId=612, serviceCode=fnn, serviceName=Fun88)","Fun88"
"server1","1kkirana1","uw","7.0","ServiceList(serviceId=241, serviceCode=uw, serviceName=1K Kirana)","1k kirana"
"server1","bigcash1","bgc","7.0","ServiceList(serviceId=43, serviceCode=bgc, serviceName=Big Cash)","Big Cash"
"server1","cityflo1","ofi","7.0","ServiceList(serviceId=682, serviceCode=ofi, serviceName=cityflo)","cityflo"
"server1","forexwin1","xow","7.0","ServiceList(serviceId=782, serviceCode=xow, serviceName=Forex Win)","ForexWin"
"server1","freechargeapp1","otp","7.0","ServiceList(serviceId=360, serviceCode=otp, serviceName=FreeCharge app)","FreeChargeapp"
"server1","frizza1","fza","7.0","ServiceList(serviceId=152, serviceCode=fza, serviceName=Frizza new app)","Frizza"
"server1","jio1","ioj","7.0","ServiceList(serviceId=786, serviceCode=ioj, serviceName=Jio)","Jio"
"server1","junio1","iio","7.0","ServiceList(serviceId=209, serviceCode=iio, serviceName=Junio)","Junio"
"server1","kullut1","ati","7.0","ServiceList(serviceId=785, serviceCode=ati, serviceName=Kullut)","Kullut"
"server1","upstox1","ttt","20.0","ServiceList(serviceId=771, serviceCode=ttt, serviceName=Upstox)","Upstox"
"server1","teenpattiwinpro1","enp","12.0","ServiceList(serviceId=118, serviceCode=enp, serviceName=Teenpatti WinPro)","TeenpattiWinPro"
"server1","porter1","prr","11.0","ServiceList(serviceId=652, serviceCode=prr, serviceName=Porter)","Porter"
"server1","amazon1","am","12.0","ServiceList(serviceId=17, serviceCode=am, serviceName=Amazon)","Amazon"
"server1","lg1","glg","12.0","ServiceList(serviceId=783, serviceCode=glg, serviceName=LG)","LG"
"server1","lcgbet1","egb","12.0","ServiceList(serviceId=784, serviceCode=egb, serviceName=Lcg bet)","Lcgbet"
"server1","tradex1","tad","12.0","ServiceList(serviceId=473, serviceCode=tad, serviceName=Trade X)","TradeX"
"server1","qbet1","teb","12.0","ServiceList(serviceId=778, serviceCode=teb, serviceName=Qbet)","Qbet"
"server1","dhani1","os","12.0","ServiceList(serviceId=356, serviceCode=os, serviceName=Dhani)","Dhani"
"server1","openai1","dr","12.0","ServiceList(serviceId=649, serviceCode=dr, serviceName=OpenAI)","OpenAI"
"server1","rummynobel1","ybl","11.0","ServiceList(serviceId=633, serviceCode=ybl, serviceName=Rummy nobel)","Rummynobel"
"server1","signal1","bw","11.0","ServiceList(serviceId=457, serviceCode=bw, serviceName=Signal)","Signal"
"server1","hobigames1","aea","11.0","ServiceList(serviceId=8, serviceCode=aea, serviceName=Hobi games)","Hobi Games"
"server1","royalwin1","ku","11.0","ServiceList(serviceId=260, serviceCode=ku, serviceName=RoyalWin)","RoyalWin"
"server1","rummybirkin1","yir","11.0","ServiceList(serviceId=623, serviceCode=yir, serviceName=Rummy Birkin)","Rummy Birkin"
"server1","rummycircle1","rmc","11.0","ServiceList(serviceId=423, serviceCode=rmc, serviceName=RummyCircle)","RummyCircle"
"server1","fiewin1","fwn","11.0","ServiceList(serviceId=148, serviceCode=fwn, serviceName=Fiewin)","Fiewin"
"server1","rummymaster1","msr","11.0","ServiceList(serviceId=641, serviceCode=msr, serviceName=Rummy master)","Rummymaster"
"server1","ace2three1","rh","11.0","ServiceList(serviceId=29, serviceCode=rh, serviceName=Ace2Three)","Ace2Three"
"server1","mpl1","xq","9.0","ServiceList(serviceId=569, serviceCode=xq, serviceName=MPL)","MPL"
"server1","betvet1","btv","9.0","ServiceList(serviceId=51, serviceCode=btv, serviceName=Betvet)","Betvet"
"server1","truecaller1","tl","9.0","ServiceList(serviceId=484, serviceCode=tl, serviceName=Truecaller)","Truecaller"
"server1","1mg1","1mg","9.0","ServiceList(serviceId=1, serviceCode=1mg, serviceName=1mg)","1mg"
"server1","nobroker1","dv","9.0","ServiceList(serviceId=97, serviceCode=dv, serviceName=NoBroker)","No broker"
"server1","grofers1","ln","9.0","ServiceList(serviceId=170, serviceCode=ln, serviceName=Grofers)","Grofers (Blinkit)"
"server1","apollo2471","oop","9.0","ServiceList(serviceId=352, serviceCode=oop, serviceName=Apollo 247)","Apollo 247"
"server1","iplwin1","yv","9.0","ServiceList(serviceId=274, serviceCode=yv, serviceName=IPLwin)","IPLwin"
"server1","myjar1","mjr","8.0","ServiceList(serviceId=303, serviceCode=mjr, serviceName=My Jar)","My Jar"
"server1","tataneu1","uaa","8.0","ServiceList(serviceId=505, serviceCode=uaa, serviceName=Tata Neu)","Tata Neu"
"server4","bajajfinserv4","bfs","6.0","ServiceList(serviceId=41, serviceCode=bfs, serviceName=Bajaj Finserv)","BajajFinserv"
"server4","countrydelight4","cod","8.0","ServiceList(serviceId=631, serviceCode=yhy, serviceName=Country Delight)","CountryDelight"
"server3","telegram3","tg","0.0","ServiceList(serviceId=478, serviceCode=tg, serviceName=Telegram)","Telegram"
"server1","rummyjunglee1","hi","9.0","ServiceList(serviceId=231, serviceCode=hi, serviceName=JungleeRummy)","Rummy junglee"
"server1","tiktok1","lf","5.0","ServiceList(serviceId=272, serviceCode=lf, serviceName=TikTok)","TikTok"
"server1","oyo1","oyo","9.0","ServiceList(serviceId=363, serviceCode=oyo, serviceName=OYO)","Oyo"
"server1","teenpatti1","tnp","9.0","ServiceList(serviceId=490, serviceCode=tnp, serviceName=Teenpati joy)","Teenpatti"
"server1","rummymodern1","mmm","9.0","ServiceList(serviceId=307, serviceCode=mmm, serviceName=Rummy Modern)","Rummy Modern"
"server1","lazypay1","bb","30.0","ServiceList(serviceId=597, serviceCode=bb, serviceName=LazyPay)","LazyPay"
"server4","fastwin4","fst","10.0","ServiceList(serviceId=634, serviceCode=tfs, serviceName=FastWin)","FastWin"
"server1","phonepe1","noh","9.0","ServiceList(serviceId=333, serviceCode=noh, serviceName=PhonePe)","Phonepe"
"server2","swiggy2","jx","15.0","ServiceList(serviceId=453, serviceCode=jx, serviceName=Swiggy)","Swiggy"
"server1","zepto1","zpt","7.5","ServiceList(serviceId=598, serviceCode=zpt, serviceName=Zepto)","Zepto"
"server1","yahoo1","mb","5.0","ServiceList(serviceId=292, serviceCode=mb, serviceName=Yahoo)","Yahoo"
"server6","simpl6","10606","13.0","ServiceList(serviceId=630, serviceCode=smpl, serviceName=Simpl)","Simpl"
"server6","zomato6","10050","13.0","ServiceList(serviceId=100, serviceCode=dy, serviceName=Zomato)","Zomato"
"server6","paytmnew6","10015","20.0","ServiceList(serviceId=158, serviceCode=ge, serviceName=Paytm)","Paytm New"
"server2","payzapp2","yp","10.0","ServiceList(serviceId=587, serviceCode=yp, serviceName=Payzapp)","Payzapp"
"server2","rummyola2","xb","11.0","ServiceList(serviceId=583, serviceCode=xb, serviceName=RummyOla)","RummyOla"
"server2","airtel2","zl","14.0","ServiceList(serviceId=594, serviceCode=zl, serviceName=Airtel)","Airtel"
"server2","microsoft2","mm","7.0","ServiceList(serviceId=305, serviceCode=mm, serviceName=Microsoft)","Microsoft"
"server1","damanbet1","ann","9.0","ServiceList(serviceId=651, serviceCode=ann, serviceName=Daman bet)","Damanbet"
"server1","teenpattigold1","ttg","8.0","ServiceList(serviceId=638, serviceCode=ttg, serviceName=Teenpatti gold)","Teenpattigold"
"server2","lazypay2","bb","150.0","ServiceList(serviceId=597, serviceCode=bb, serviceName=LazyPay)","LazyPay"
"server6","justdial6","10178","13.0","ServiceList(serviceId=227, serviceCode=ila, serviceName=Justdial)","Justdial"
"server1","licious1","cuo","9.0","ServiceList(serviceId=618, serviceCode=cuo, serviceName=Licious)","Licious"
"server6","myntra6","10182","20.0","ServiceList(serviceId=320, serviceCode=nl, serviceName=Myntra)","Myntra"
"server2","whatsapp2","wa","100.0","ServiceList(serviceId=545, serviceCode=wa, serviceName=Whatsapp)","Whatsapp"
"server1","happn1","df","8.0","ServiceList(serviceId=86, serviceCode=df, serviceName=Happn)","Happn"
"server1","ok.ru1","ok","3.0","ServiceList(serviceId=348, serviceCode=ok, serviceName=Ok.ru)","OK.ru"
"server2","winzo2","vs","10.0","ServiceList(serviceId=559, serviceCode=vs, serviceName=Winzo)","Winzo"
"server1","teenpattigo1","peo","10.0","ServiceList(serviceId=637, serviceCode=peo, serviceName=Teenpatti go)","Teenpattigo"
"server2","anyother2","ot","11.0","ServiceList(serviceId=359, serviceCode=ot, serviceName=Any other)","Anyother"
"server2","irctc2","us","20.0","ServiceList(serviceId=216, serviceCode=us, serviceName=IRCTC)","IRCTC"
"server1","fampay1","fmp","9.0","ServiceList(serviceId=142, serviceCode=fmp, serviceName=Fampay)","Fampay"
"server1","uberpaytmold1","ub","8.0","ServiceList(serviceId=506, serviceCode=ub, serviceName=Uber)","Uber + Paytm Old"
"server1","myntranew1","nl","9.0","ServiceList(serviceId=320, serviceCode=nl, serviceName=Myntra)","Myntra New"
"server1","protonmail1","dp","3.0","ServiceList(serviceId=94, serviceCode=dp, serviceName=ProtonMail)","ProtonMail"
"server6","swiggy6","10071","30.0","ServiceList(serviceId=453, serviceCode=jx, serviceName=Swiggy)","Swiggy"
"server6","bajajfinserv6","10612","13.0","ServiceList(serviceId=41, serviceCode=bfs, serviceName=Bajaj Finserv)","BajajFinserv"
"server1","rummymars1","sar","10.0","ServiceList(serviceId=657, serviceCode=sar, serviceName=Rummy Mars)","RummyMars"
"server1","telegramfarm1","tgf","0.0","ServiceList(serviceId=667, serviceCode=tgf, serviceName=Telegram Farm)","TelegramFarm"
"server6","telegram6","10035","0.0","ServiceList(serviceId=478, serviceCode=tg, serviceName=Telegram)","Telegram"
"server1","flipkartnew1","xt","0.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart New Number"
"server1","flipkartold1","xt","0.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart Old Number"
"server1","anyother1","ot","11.0","ServiceList(serviceId=359, serviceCode=ot, serviceName=Any other)","Any Other"
"server4","airtel4","zl","12.0","ServiceList(serviceId=594, serviceCode=zl, serviceName=Airtel)","Airtel"
"server3","winzo3","vs","15.0","ServiceList(serviceId=559, serviceCode=vs, serviceName=Winzo)","Winzo"
"server1","billu1","lul","7.0","ServiceList(serviceId=668, serviceCode=lul, serviceName=Billu)","Billu"
"server1","ludoempire1","lrl","12.0","ServiceList(serviceId=658, serviceCode=lrl, serviceName=Ludo empire)","Ludoempire"
"server1","bajajfinserv1","bfs","12.0","ServiceList(serviceId=41, serviceCode=bfs, serviceName=Bajaj Finserv)","BajajFinserv"
"server1","cardspattilounge1","tnl","7.0","ServiceList(serviceId=653, serviceCode=tnl, serviceName=CardsPatti Lounge)","CardsPattiLounge"
"server1","dubaiexch2471","uih","7.0","ServiceList(serviceId=684, serviceCode=uih, serviceName=Dubaiexch247)","Dubaiexch247"
"server1","finnable1","lli","7.0","ServiceList(serviceId=669, serviceCode=lli, serviceName=Finnable)","Finnable"
"server1","freehit1","teh","7.0","ServiceList(serviceId=680, serviceCode=teh, serviceName=Freehit)","Freehit"
"server1","kamaaikendra1","eid","7.0","ServiceList(serviceId=673, serviceCode=eid, serviceName=KamaaiKendra)","KamaaiKendra"
"server1","lucknow1","uuw","7.0","ServiceList(serviceId=685, serviceCode=uuw, serviceName=Lucknow)","Lucknow"
"server1","mandibhav1","atg","7.0","ServiceList(serviceId=781, serviceCode=atg, serviceName=Mandi Bhav)","MandiBhav"
"server1","mani7771","inn","7.0","ServiceList(serviceId=678, serviceCode=inn, serviceName=Mani777)","Mani777"
"server1","mantrimall1","mtm","7.0","ServiceList(serviceId=316, serviceCode=mtm, serviceName=Mantrimall)","Mantrimall"
"server1","tauruscash1","cha","7.0","ServiceList(serviceId=677, serviceCode=cha, serviceName=Taurus Cash)","TaurusCash"
"server1","teenpatti3agold1","dlp","7.0","ServiceList(serviceId=679, serviceCode=dlp, serviceName=TeenPatti 3A Gold)","TeenPatti3AGold"
"server1","wincash1","cwi","7.0","ServiceList(serviceId=663, serviceCode=cwi, serviceName=WinCash)","WinCash"
"server1","payzapp1","yp","13.0","ServiceList(serviceId=587, serviceCode=yp, serviceName=Payzapp)","Payzapp"
"server1","zupee1","mi","7.0","ServiceList(serviceId=600, serviceCode=mi, serviceName=Zupee)","Zupee"
"server1","winzo1","vs","14.0","ServiceList(serviceId=559, serviceCode=vs, serviceName=Winzo)","Winzo"
"server1","justdial1","ila","12.0","ServiceList(serviceId=227, serviceCode=ila, serviceName=Justdial)","Justdial"
"server1","snapdeal1","dsa","12.0","ServiceList(serviceId=632, serviceCode=dsa, serviceName=Snapdeal)","Snapdeal"
"server1","pocketcharge1","geo","12.0","ServiceList(serviceId=627, serviceCode=geo, serviceName=Pocket Charge)","PocketCharge"
"server1","ibet1","tie","12.0","ServiceList(serviceId=659, serviceCode=tie, serviceName=ibet)","ibet"
"server1","rummywealth1","so","11.0","ServiceList(serviceId=429, serviceCode=so, serviceName=Rummy Wealth)","Rummy Wealth"
"server1","loreal1","lrr","12.0","ServiceList(serviceId=779, serviceCode=lrr, serviceName=Loreal)","Loreal"
"server1","rush1","kv","12.0","ServiceList(serviceId=439, serviceCode=rsh, serviceName=Rush)","Rush"
"server1","sugargold1","gog","12.0","ServiceList(serviceId=655, serviceCode=gog, serviceName=Sugar Gold)","SugarGold"
"server1","syndiclub1","nls","11.0","ServiceList(serviceId=661, serviceCode=nls, serviceName=Syndi club)","Syndiclub"
"server1","rummy1","rmm","11.0","ServiceList(serviceId=426, serviceCode=rmm, serviceName=Rummy)","Rummy"
"server1","fastwin1","tfs","11.0","ServiceList(serviceId=634, serviceCode=tfs, serviceName=FastWin)","FastWin"
"server1","probo1","aa","11.0","ServiceList(serviceId=383, serviceCode=aa, serviceName=Probo)","Probo"
"server1","cred1","edd","11.0","ServiceList(serviceId=662, serviceCode=edd, serviceName=Cred)","Cred"
"server1","rummyglee1","yrl","11.0","ServiceList(serviceId=647, serviceCode=yrl, serviceName=Rummy glee)","Rummyglee"
"server1","holyrummy1","mmt","11.0","ServiceList(serviceId=614, serviceCode=mmt, serviceName=HolyRummy)","HolyRummy"
"server1","rummygold1","rmg","11.0","ServiceList(serviceId=424, serviceCode=rmg, serviceName=Rummy gold)","Rummy Gold"
"server1","pharmeasy1","fc","9.0","ServiceList(serviceId=372, serviceCode=fc, serviceName=PharmEasy)","Pharmeasy"
"server1","myntra1","nl","9.0","ServiceList(serviceId=320, serviceCode=nl, serviceName=Myntra)","Myntra"
"server1","24kbet1","bte","9.0","ServiceList(serviceId=687, serviceCode=bte, serviceName=24K BET)","24KBET"
"server1","fairbets1","tii","9.0","ServiceList(serviceId=675, serviceCode=tii, serviceName=FairBets)","FairBets"
"server1","joymall1","mjo","9.0","ServiceList(serviceId=302, serviceCode=mjo, serviceName=joymall)","Joymall"
"server1","adda521","a52","9.0","ServiceList(serviceId=2, serviceCode=a52, serviceName=Adda52)","Adda52"
"server1","uber1","ub","6.0","ServiceList(serviceId=506, serviceCode=ub, serviceName=Uber)","Uber"
"server1","viber1","vi","6.0","ServiceList(serviceId=535, serviceCode=vi, serviceName=Viber)","Viber"
"server1","roposo1","ga","6.0","ServiceList(serviceId=153, serviceCode=ga, serviceName=Roposo)","Roposo"
"server1","zeeto1","tot","8.0","ServiceList(serviceId=777, serviceCode=tot, serviceName=Zeeto)","Zeeto"
"server1","myfab111","mfb","9.0","ServiceList(serviceId=298, serviceCode=mfb, serviceName=Myfab11)","Myfab11"
"server1","telegram1","tg","70.0","ServiceList(serviceId=478, serviceCode=tg, serviceName=Telegram)","Telegram"
"server1","indianoil1","fg","18.0","ServiceList(serviceId=660, serviceCode=fg, serviceName=Indian Oil)","IndianOil"
"server3","whatsapp3","wa","0.0","ServiceList(serviceId=545, serviceCode=wa, serviceName=Whatsapp)","Whatsapp"
"server1","flipkart1","xt","9.0","ServiceList(serviceId=143, serviceCode=xt, serviceName=Flipkart)","Flipkart"
"server1","olx1","sn","5.0","ServiceList(serviceId=462, serviceCode=sn, serviceName=OLX)","OLX"
"server3","fastwin3","fst","8.0","ServiceList(serviceId=634, serviceCode=tfs, serviceName=FastWin)","FastWin"
"server1","yoswin1","iww","6.0","ServiceList(serviceId=716, serviceCode=iww, serviceName=Yoswin)","Yoswin"
"server1","fitcredit1","ess","8.0","ServiceList(serviceId=626, serviceCode=ess, serviceName=Fit.Credit)","FitCredit"
"server4","amazon4","am","10.0","ServiceList(serviceId=17, serviceCode=am, serviceName=Amazon)","Amazon"
"server1","dream111","ve","12.0","ServiceList(serviceId=531, serviceCode=ve, serviceName=Dream11)","Dream11"
"server1","nexmovonage1","xno","7.0","ServiceList(serviceId=701, serviceCode=xno, serviceName=Nexmo/vonage)","Nexmovonage"
"server1","1bet1","wj","7.0","ServiceList(serviceId=553, serviceCode=wj, serviceName=1хbet)","1bet"
"server1","alibaba1","ab","7.0","ServiceList(serviceId=5, serviceCode=ab, serviceName=Alibaba)","Alibaba"
